Martha I
Operated by US
latitude -78.31 longitude -172.50 height 42m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1984 02 07 09 00   993.4    -3.2     2.9   312                                  
1984 02 07 12 00   993.4    -7.2     2.5   274                                  
1984 02 07 15 00   992.9    -4.9     0.6     0                                  
1984 02 07 18 00   992.2    -3.6     3.5   298                                  
1984 02 07 21 00   992.0    -4.4     5.5   219                                  
1984 02 08 00 00   991.6    -5.6     5.8   220                                  
1984 02 08 03 00   991.3    -9.0     9.4   174                                  
1984 02 08 06 00   991.6   -11.1    14.8   172                                  
1984 02 08 09 00   991.8   -14.1    11.7   188                                  
1984 02 08 12 00   992.3   -16.7    12.9   191                                  
1984 02 08 15 00   992.7   -17.7     8.4   203                                  
1984 02 08 18 00   992.0   -17.6    10.3   220                                  
1984 02 08 21 00   991.5   -14.4     8.8   225                                  
1984 02 09 00 00   990.3   -12.1    10.3   226                                  
1984 02 09 03 00   989.0   -11.6    10.3   217                                  
1984 02 09 06 00   987.4   -13.5     9.8   247                                  
1984 02 09 09 00   986.3   -16.9     8.4   237                                  
1984 02 09 12 00   985.4   -20.6     8.4   241                                  
1984 02 09 15 00   984.6   -20.7     8.4   246                                  
1984 02 09 18 00   984.4   -14.7     6.8   253                                  
1984 02 09 21 00   984.6   -11.7     5.8   272                                  
1984 02 10 00 00   985.0   -12.7     5.8   253                                  
1984 02 10 03 00   985.7   -11.1     6.4   260                                  
1984 02 10 06 00   986.7   -10.4     1.6   264                                  
1984 02 10 09 00   987.8   -14.4     5.8   267                                  
1984 02 10 12 00   989.0   -19.9     3.9   268                                  
1984 02 10 15 00   990.2   -21.2     3.9   236                                  
1984 02 10 18 00   991.5   -18.2     3.9   258                                  
1984 02 10 21 00   992.2   -11.2     1.6   272                                  
1984 02 11 00 00   993.0    -9.6     2.5   177                                  
1984 02 11 03 00   993.1    -8.8     4.9   189                                  
1984 02 11 06 00   993.3   -11.4     4.9   158                                  
1984 02 11 09 00   993.1   -15.5     5.8   122                                  
