A028_new
Operated by Australia
latitude -68.40 longitude 112.22 height 1622m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied byAAD

1985 04 21 05 56 -999      -28.1 -999    -999                                   
1985 04 21 06 49 -999      -28.1 -999    -999                                   
1985 04 21 07 42 -999      -28.2 -999    -999                                   
1985 04 21 09 30 -999      -27.6 -999    -999                                   
1985 04 21 11 16 -999      -27.0 -999    -999                                   
1985 04 21 13 03 -999      -26.5 -999    -999                                   
1985 04 21 14 49 -999      -25.3 -999    -999                                   
1985 04 21 16 37 -999      -24.4 -999    -999                                   
1985 04 21 17 31 -999      -23.7 -999    -999                                   
1985 04 21 18 24 -999      -23.7 -999    -999                                   
1985 04 21 19 17 -999      -23.4 -999    -999                                   
1985 04 21 21 04 -999      -23.3 -999    -999                                   
1985 04 21 21 57 -999      -23.3 -999    -999                                   
1985 04 22 04 10 -999      -25.6 -999    -999                                   
1985 04 22 05 58 -999      -25.8 -999    -999                                   
1985 04 22 09 30 -999      -28.5 -999    -999                                   
1985 04 22 12 11 -999      -32.1 -999    -999                                   
1985 04 22 13 05 -999      -32.3 -999    -999                                   
1985 04 22 13 57 -999      -33.0 -999    -999                                   
1985 04 22 14 51 -999      -33.0 -999    -999                                   
1985 04 22 15 45 -999      -34.2 -999    -999                                   
1985 04 22 16 38 -999      -34.3 -999    -999                                   
1985 04 22 17 32 -999      -35.4 -999    -999                                   
1985 04 23 04 12 -999      -39.9 -999    -999                                   
1985 04 23 05 58 -999      -39.2 -999    -999                                   
1985 04 23 07 44 -999      -38.9 -999    -999                                   
1985 04 23 09 31 -999      -38.3 -999    -999                                   
1985 04 23 11 19 -999      -38.2 -999    -999                                   
1985 04 23 12 11 -999      -37.6 -999    -999                                   
1985 04 23 13 05 -999      -37.3 -999    -999                                   
1985 04 23 13 58 -999      -38.0 -999    -999                                   
1985 04 23 14 51 -999      -38.0 -999    -999                                   
1985 04 23 15 46 -999      -37.8 -999    -999                                   
1985 04 23 16 38 -999      -38.2 -999    -999                                   
1985 04 23 17 32 -999      -38.2 -999    -999                                   
1985 04 23 19 18 -999      -38.9 -999    -999                                   
1985 04 23 21 59 -999      -38.3 -999    -999                                   
1985 04 23 23 45 -999      -38.6 -999    -999                                   
1985 04 24 04 13 -999      -37.0 -999    -999                                   
1985 04 24 06 00 -999      -35.7 -999    -999                                   
1985 04 24 08 39 -999      -34.5 -999    -999                                   
1985 04 24 09 32 -999      -34.4 -999    -999                                   
1985 04 24 10 26 -999      -33.9 -999    -999                                   
1985 04 24 11 19 -999      -33.9 -999    -999                                   
1985 04 24 13 06 -999      -32.7 -999    -999                                   
1985 04 24 14 00 -999      -32.3 -999    -999                                   
1985 04 24 15 46 -999      -30.4 -999    -999                                   
1985 04 24 16 40 -999      -29.3 -999    -999                                   
1985 04 24 17 33 -999      -29.1 -999    -999                                   
1985 04 24 18 27 -999      -28.9 -999    -999                                   
1985 04 24 19 19 -999      -28.3 -999    -999                                   
1985 04 24 21 07 -999      -27.8 -999    -999                                   
1985 04 24 22 54 -999      -27.6 -999    -999                                   
1985 04 24 23 47 -999      -27.6 -999    -999                                   
1985 04 25 00 40 -999      -26.9 -999    -999                                   
1985 04 25 02 27 -999      -27.0 -999    -999                                   
1985 04 25 04 14 -999      -26.2 -999    -999                                   
1985 04 25 08 40 -999      -26.7 -999    -999                                   
1985 04 25 10 28 -999      -28.1 -999    -999                                   
1985 04 25 12 14 -999      -28.0 -999    -999                                   
1985 04 25 14 00 -999      -29.8 -999    -999                                   
1985 04 25 15 47 -999      -29.6 -999    -999                                   
1985 04 25 17 35 -999      -30.6 -999    -999                                   
1985 04 25 18 27 -999      -31.1 -999    -999                                   
1985 04 25 19 21 -999      -26.1 -999    -999                                   
1985 04 25 21 08 -999      -31.9 -999    -999                                   
1985 04 26 02 28 -999      -33.2 -999    -999                                   
1985 04 26 03 22 -999      -32.6 -999    -999                                   
1985 04 26 06 55 -999      -32.2 -999    -999                                   
1985 04 26 08 42 -999      -31.8 -999    -999                                   
1985 04 26 10 28 -999      -31.5 -999    -999                                   
1985 04 26 11 21 -999      -31.5 -999    -999                                   
1985 04 26 12 14 -999      -31.9 -999    -999                                   
1985 04 26 14 01 -999      -32.6 -999    -999                                   
1985 04 26 15 49 -999      -33.9 -999    -999                                   
1985 04 26 16 41 -999      -33.7 -999    -999                                   
1985 04 26 17 35 -999      -33.6 -999    -999                                   
1985 04 26 19 21 -999      -33.1 -999    -999                                   
1985 04 26 20 16 -999      -33.5 -999    -999                                   
1985 04 26 22 02 -999      -34.4 -999    -999                                   
1985 04 26 22 56 -999      -34.7 -999    -999                                   
1985 04 27 08 43 -999      -38.2 -999    -999                                   
1985 04 27 10 30 -999      -38.2 -999    -999                                   
1985 04 27 12 15 -999      -38.3 -999    -999                                   
1985 04 27 13 09 -999      -38.0 -999    -999                                   
1985 04 27 14 02 -999      -38.0 -999    -999                                   
1985 04 27 14 56 -999      -36.1 -999    -999                                   
1985 04 27 15 49 -999      -36.0 -999    -999                                   
1985 04 27 16 42 -999      -35.7 -999    -999                                   
1985 04 27 18 30 -999      -34.7 -999    -999                                   
1985 04 27 20 16 -999      -32.8 -999    -999                                   
1985 04 28 01 37 -999      -26.6 -999    -999                                   
1985 04 28 03 24 -999      -24.3 -999    -999                                   
1985 04 28 08 44 -999      -21.0 -999    -999                                   
1985 04 28 11 23 -999      -19.8 -999    -999                                   
1985 04 28 12 16 -999      -19.8 -999    -999                                   
1985 04 28 13 10 -999      -19.8 -999    -999                                   
1985 04 28 14 58 -999      -17.9 -999    -999                                   
1985 04 28 16 44 -999      -18.3 -999    -999                                   
1985 04 28 18 30 -999      -19.9 -999    -999                                   
1985 04 28 20 17 -999      -19.9 -999    -999                                   
1985 04 28 22 03 -999      -21.5 -999    -999                                   
1985 04 28 22 57 -999      -20.7 -999    -999                                   
1985 04 28 23 51 -999      -20.7 -999    -999                                   
1985 04 29 02 31 -999      -22.6 -999    -999                                   
1985 04 29 05 10 -999      -27.4 -999    -999                                   
1985 04 29 06 04 -999      -29.9 -999    -999                                   
1985 04 29 06 58 -999      -30.0 -999    -999                                   
1985 04 29 07 52 -999      -32.6 -999    -999                                   
1985 04 29 08 45 -999      -32.7 -999    -999                                   
1985 04 29 09 38 -999      -33.5 -999    -999                                   
1985 04 29 11 25 -999      -34.1 -999    -999                                   
1985 04 29 13 12 -999      -35.8 -999    -999                                   
1985 04 29 16 44 -999      -39.2 -999    -999                                   
1985 04 29 17 39 -999      -40.2 -999    -999                                   
1985 04 29 18 31 -999      -40.1 -999    -999                                   
1985 04 29 19 25 -999      -39.4 -999    -999                                   
1985 04 29 20 19 -999      -39.6 -999    -999                                   
1985 04 29 21 11 -999      -39.2 -999    -999                                   
1985 04 29 22 05 -999      -39.1 -999    -999                                   
1985 04 30 02 32 -999      -37.5 -999    -999                                   
1985 04 30 04 18 -999      -37.0 -999    -999                                   
1985 04 30 05 12 -999      -37.0 -999    -999                                   
1985 04 30 06 06 -999      -37.5 -999    -999                                   
1985 04 30 09 39 -999      -38.1 -999    -999                                   
1985 04 30 13 13 -999      -38.4 -999    -999                                   
1985 04 30 15 00 -999      -37.7 -999    -999                                   
1985 04 30 17 39 -999      -37.8 -999    -999                                   
1985 04 30 18 32 -999      -37.7 -999    -999                                   
1985 04 30 19 25 -999      -37.7 -999    -999                                   
1985 04 30 20 19 -999      -37.7 -999    -999                                   
1985 04 30 21 12 -999      -38.0 -999    -999                                   
1985 05 01 05 43 -999      -38.0 -999    -999                                   
1985 05 01 06 36 -999      -38.1 -999    -999                                   
1985 05 01 07 30 -999      -37.6 -999    -999                                   
1985 05 01 08 23 -999      -37.6 -999    -999                                   
1985 05 01 09 16 -999      -37.3 -999    -999                                   
1985 05 01 10 09 -999      -37.4 -999    -999                                   
1985 05 01 11 02 -999      -37.3 -999    -999                                   
1985 05 01 11 56 -999      -37.5 -999    -999                                   
1985 05 01 12 49 -999      -37.5 -999    -999                                   
1985 05 01 14 36 -999      -37.6 -999    -999                                   
1985 05 01 16 23 -999      -38.2 -999    -999                                   
1985 05 01 17 16 -999      -38.2 -999    -999                                   
1985 05 01 18 11 -999      -38.2 -999    -999                                   
1985 05 01 19 03 -999      -38.6 -999    -999                                   
1985 05 01 21 43 -999      -40.1 -999    -999                                   
1985 05 02 03 58 -999      -42.6 -999    -999                                   
1985 05 02 05 45 -999      -42.9 -999    -999                                   
1985 05 02 07 31 -999      -43.7 -999    -999                                   
1985 05 02 09 17 -999      -44.3 -999    -999                                   
1985 05 02 10 10 -999      -44.6 -999    -999                                   
1985 05 02 12 51 -999      -45.1 -999    -999                                   
1985 05 02 14 37 -999      -45.5 -999    -999                                   
1985 05 02 15 31 -999      -45.8 -999    -999                                   
