Noel
Operated by US
latitude -79.33 longitude -111.08 height 1833m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

2000 02 01 03 00   786.9   -23.1    11.7    52                                  
2000 02 01 06 00   787.0   -24.5     8.4    67                                  
2000 02 01 09 00   787.0   -25.8    10.3    63                                  
2000 02 01 12 00   787.1   -27.0     7.4    68                                  
2000 02 01 15 00   787.2   -23.5     8.8    81                                  
2000 02 01 18 00   787.1   -21.9     8.4    59                                  
2000 02 01 21 00   787.4   -19.8     3.5    82                                  
2000 02 02 00 00   787.1   -20.4     8.4    94                                  
2000 02 02 03 00   786.6   -20.6     9.4   118                                  
2000 02 02 06 00   785.9   -20.8     8.4   136                                  
2000 02 02 09 00   785.4   -20.4     8.8   113                                  
2000 02 02 12 00   785.1   -20.2    12.3    60                                  
2000 02 02 15 00   784.6   -20.2    12.9    54                                  
2000 02 02 18 00   784.5   -19.0    23.6    35                                  
2000 02 02 21 00   785.0   -17.1    27.1    22                                  
2000 02 03 00 00   785.7   -16.6    30.0    14                                  
2000 02 03 03 00   786.2   -17.6    29.4    18                                  
2000 02 03 06 00   786.7   -18.4    28.1    25                                  
2000 02 03 09 00   787.6   -19.0    24.0    23                                  
2000 02 03 12 00   788.5   -18.6    26.5    15                                  
2000 02 03 15 00   788.9   -18.6    33.3    21                                  
2000 02 03 18 00   789.1   -18.5    29.1    21                                  
2000 02 03 21 00   789.0   -18.2    30.4    19                                  
2000 02 04 00 00   789.0   -17.6    32.4    16                                  
2000 02 04 03 00   788.7   -18.5    27.1     5                                  
2000 02 04 06 00   788.5   -18.6    25.2     2                                  
2000 02 04 09 00   788.3   -18.6    29.4     2                                  
2000 02 04 12 00   788.2   -19.5    29.1    23                                  
2000 02 04 15 00   788.2   -19.6    21.6    30                                  
2000 02 04 18 00   787.6   -18.4    21.6    32                                  
2000 02 04 21 00   786.7   -17.5    21.1    46                                  
2000 02 05 00 00   785.4   -17.8    18.7    49                                  
2000 02 05 03 00   784.1   -17.6    14.8    40                                  
2000 02 05 06 00   782.7   -17.5    18.1    50                                  
2000 02 05 09 00   781.7   -18.2    14.8    60                                  
