Clamp1
Operated by UK
latitude -75.88 longitude -25.49 height 43m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the British Antarctic Survey

1996 01 14 06 00   984.4    -9.0     2.5    27                                  
1996 01 14 07 00   984.5    -8.4     2.3    72                                  
1996 01 14 08 00   984.2    -8.7     2.1    65                                  
1996 01 14 09 00   984.5    -8.2     2.1    46                                  
1996 01 14 10 00   984.5    -8.4     1.8   348                                  
1996 01 14 11 00   984.0    -7.8     1.2   319                                  
1996 01 14 12 00   984.8    -5.9     0.0     5                                  
1996 01 14 13 00   984.6    -5.5     0.0     5                                  
1996 01 14 14 00   984.5    -6.9     4.5   275                                  
1996 01 14 15 00   984.1    -6.8     4.9   277                                  
1996 01 14 16 00   983.9    -6.9     6.4   276                                  
1996 01 14 17 00   983.9    -5.7     5.8   259                                  
1996 01 14 18 00   984.2    -6.0     7.2   258                                  
1996 01 14 19 00   984.1    -6.5     6.4   272                                  
1996 01 14 20 00   984.0    -6.4     5.7   259                                  
1996 01 14 21 00   984.3    -6.1     5.5   247                                  
1996 01 14 22 00   984.4    -8.4     9.2   136                                  
1996 01 14 23 00   984.3    -9.2     9.6   141                                  
1996 01 15 00 00   984.8    -9.9     8.6   107                                  
1996 01 15 01 00   984.4   -10.4    11.5    95                                  
1996 01 15 02 00   984.4   -11.4     7.6    99                                  
1996 01 15 03 00   984.4   -11.5     9.9   133                                  
1996 01 15 04 00   984.4   -10.0     8.2   104                                  
1996 01 15 05 00   984.2   -10.8     7.2   109                                  
1996 01 15 06 00   984.4   -10.0    11.1   111                                  
1996 01 15 07 00   984.1    -9.9     5.8   115                                  
1996 01 15 08 00   984.2    -9.4     4.5   104                                  
1996 01 15 09 00   984.0    -8.6     4.3    91                                  
1996 01 15 10 00   983.8    -5.4     0.0     5                                  
1996 01 15 11 00   983.6 -999        0.0     5                                  
1996 01 15 12 00   983.6    -7.7     2.3   299                                  
1996 01 15 13 00   983.8    -7.8     3.9   295                                  
1996 01 15 14 00   983.9    -6.7     1.2   297                                  
1996 01 15 15 00   983.6    -1.9     0.0     5                                  
1996 01 15 16 00   983.3    -4.5     0.0     5                                  
1996 01 15 17 00   983.2    -5.1     0.0     5                                  
1996 01 15 18 00   983.4    -4.1     0.0     5                                  
1996 01 15 19 00   983.4    -6.0     1.6   280                                  
1996 01 15 20 00   984.0    -6.2     1.4   298                                  
1996 01 15 21 00   983.4    -7.1     1.8   305                                  
1996 01 15 22 00   983.9    -8.4     3.9   120                                  
1996 01 15 23 00   983.9    -9.7     5.5   109                                  
1996 01 16 00 00   983.8   -11.0     9.2   117                                  
1996 01 16 01 00   984.1   -11.1     7.6   112                                  
1996 01 16 02 00   984.8   -12.2     6.6   102                                  
1996 01 16 03 00   984.7   -11.3     9.4   113                                  
1996 01 16 04 00   985.2   -11.8     9.6   114                                  
1996 01 16 05 00   985.3   -11.7    10.1   112                                  
1996 01 16 06 00   985.1   -11.3     8.2   110                                  
1996 01 16 07 00   986.0   -11.7     4.1   106                                  
1996 01 16 08 00   986.2   -10.8     5.3    82                                  
1996 01 16 09 00   986.8   -10.1     1.4   117                                  
1996 01 16 10 00   986.1 -999        0.0     5                                  
1996 01 16 11 00   986.3    -7.4     0.0     5                                  
1996 01 16 12 00   986.5    -9.2     1.6   321                                  
1996 01 16 13 00   986.6    -9.5     3.1   285                                  
1996 01 16 14 00   986.4    -8.9     3.7   290                                  
1996 01 16 15 00   986.4    -8.6     4.5   294                                  
1996 01 16 16 00   986.4    -8.0     5.3   276                                  
1996 01 16 17 00   986.2    -8.1     6.2   283                                  
1996 01 16 18 00   986.6    -8.1     4.7   277                                  
1996 01 16 19 00   987.0    -8.0     5.8   277                                  
1996 01 16 20 00   987.0    -8.6     3.9   276                                  
1996 01 16 21 00   987.1    -8.6     3.3   246                                  
1996 01 16 22 00   987.0    -8.9     3.7   120                                  
1996 01 16 23 00   987.4   -10.2     6.0    95                                  
1996 01 17 00 00   987.2   -10.8     5.3   109                                  
1996 01 17 01 00   987.0   -11.8     6.2   132                                  
1996 01 17 02 00   987.5   -10.9     5.7   115                                  
1996 01 17 03 00   987.9   -12.7     5.5   110                                  
1996 01 17 04 00   987.9   -11.9     5.5    95                                  
1996 01 17 05 00   988.3   -12.2     4.9    82                                  
1996 01 17 06 00   988.5   -11.7     5.3    99                                  
1996 01 17 07 00   988.8   -11.0     4.7    94                                  
1996 01 17 08 00   988.4   -11.0     6.0   102                                  
1996 01 17 09 00   988.6   -10.3     3.5   110                                  
1996 01 17 10 00   988.5    -9.8     4.3   121                                  
1996 01 17 11 00   988.8    -9.2     5.7    98                                  
1996 01 17 12 00   988.7    -8.3     2.9    81                                  
1996 01 17 13 00   988.6    -7.8     1.4    62                                  
1996 01 17 14 00   988.5    -7.2     1.0    42                                  
1996 01 17 15 00   988.1    -5.6     0.0     5                                  
1996 01 17 16 00   987.9    -7.2     2.5   132                                  
1996 01 17 17 00   987.9    -7.2     1.9     0                                  
1996 01 17 18 00   987.7    -3.3     0.0     5                                  
1996 01 17 19 00   987.2    -5.9     0.0     5                                  
1996 01 17 20 00   987.0    -8.7     2.5    84                                  
1996 01 17 21 00   987.2    -9.8     0.0   148                                  
1996 01 17 22 00   986.7   -10.9     3.7   131                                  
1996 01 17 23 00   986.5   -11.1     6.2   122                                  
1996 01 18 00 00   986.1   -10.8     7.2   108                                  
1996 01 18 01 00   986.2   -11.6     9.2    95                                  
1996 01 18 02 00   985.9   -11.2     6.6   106                                  
1996 01 18 03 00   985.7   -11.2     6.8   108                                  
1996 01 18 04 00   985.1   -11.3     5.3    86                                  
1996 01 18 05 00   984.9   -11.0     6.4    81                                  
1996 01 18 06 00   984.3    -9.9     4.5   115                                  
1996 01 18 07 00   984.3    -9.8     6.6    88                                  
1996 01 18 08 00   984.0    -9.1     8.0    53                                  
1996 01 18 09 00   983.4    -9.7     9.4    75                                  
1996 01 18 10 00   983.4    -9.2    10.5    68                                  
1996 01 18 11 00   982.4    -9.4    11.9    70                                  
1996 01 18 12 00   982.5    -9.9    11.5    81                                  
1996 01 18 13 00   982.0    -8.5    11.1    75                                  
1996 01 18 14 00   981.5    -8.2    11.9    70                                  
1996 01 18 15 00   980.8    -8.3    11.1    74                                  
1996 01 18 16 00   980.3    -7.8    11.9    81                                  
1996 01 18 17 00   979.6    -7.5    10.9    81                                  
1996 01 18 18 00   979.5    -7.8     9.0    70                                  
1996 01 18 19 00   978.8    -7.4    12.3    89                                  
1996 01 18 20 00   977.9    -7.4    11.3    93                                  
1996 01 18 21 00   977.6    -8.7     9.0    84                                  
1996 01 18 22 00   977.1    -9.6    10.5    75                                  
1996 01 18 23 00   976.3    -9.4    12.9    76                                  
1996 01 19 00 00   975.9    -9.9    14.8    78                                  
1996 01 19 01 00   975.9   -10.0     8.4    85                                  
1996 01 19 02 00   975.1    -9.4    13.8    84                                  
1996 01 19 03 00   974.6    -9.9    14.2    90                                  
1996 01 19 04 00   974.0    -9.3    16.4    88                                  
1996 01 19 05 00   974.2    -9.1    15.8    81                                  
1996 01 19 06 00   973.4    -9.0    15.8    88                                  
1996 01 19 07 00   972.8    -9.1    17.4    83                                  
1996 01 19 08 00   972.0    -8.6    19.1    90                                  
1996 01 19 09 00   972.1    -8.4    17.7    86                                  
1996 01 19 10 00   971.6    -8.0    17.4    78                                  
1996 01 19 11 00   971.8    -7.4    17.4    83                                  
1996 01 19 12 00   971.4    -7.6    15.6    79                                  
1996 01 19 13 00   971.4    -7.0    18.7    84                                  
1996 01 19 14 00   971.0    -7.0    20.1    80                                  
1996 01 19 15 00   970.6    -7.0    17.0    80                                  
1996 01 19 16 00   970.3    -6.7    18.3    79                                  
1996 01 19 17 00   970.5    -6.5    17.7    77                                  
1996 01 19 18 00   970.9    -6.3    18.5    81                                  
1996 01 19 19 00   970.7    -6.8    19.7    79                                  
1996 01 19 20 00   971.1    -6.3    16.0    82                                  
1996 01 19 21 00   970.8    -6.1    15.6    80                                  
1996 01 19 22 00   971.2    -6.4    15.2    80                                  
1996 01 19 23 00   970.8    -5.9    15.2    81                                  
1996 01 20 00 00   971.2    -6.1    16.8    86                                  
1996 01 20 01 00   971.1    -6.0    16.0    86                                  
1996 01 20 02 00   971.1    -6.4    15.8    86                                  
1996 01 20 03 00   971.3    -5.8    13.3    83                                  
1996 01 20 04 00   970.7    -6.0    12.3    82                                  
1996 01 20 05 00   970.9    -6.0    12.1    82                                  
1996 01 20 06 00   971.2    -6.1    10.5    71                                  
1996 01 20 07 00   971.3    -6.1     7.6    77                                  
1996 01 20 08 00   971.1    -6.1     5.8    75                                  
1996 01 20 09 00   971.2    -5.9     7.0    97                                  
1996 01 20 10 00   971.1    -5.9     3.9   107                                  
1996 01 20 11 00   971.1    -5.3     5.3    88                                  
1996 01 20 12 00   971.0    -4.7     7.4    69                                  
1996 01 20 13 00   970.8    -4.9     6.8    71                                  
1996 01 20 14 00   970.4    -4.4     5.8    71                                  
1996 01 20 15 00   970.4    -4.3    11.9    85                                  
1996 01 20 16 00   970.4    -4.2    16.6    76                                  
1996 01 20 17 00   970.6    -4.6    13.8    85                                  
1996 01 20 18 00   970.9    -4.9    13.3    80                                  
1996 01 20 19 00   970.9    -5.1    17.0    80                                  
1996 01 20 20 00   971.2    -4.5    18.5    86                                  
1996 01 20 21 00   970.9    -4.9    19.7    86                                  
1996 01 20 22 00   971.1    -5.4    20.3    87                                  
1996 01 20 23 00   972.0    -5.5    21.8    70                                  
1996 01 21 00 00   972.5    -5.2    20.9    87                                  
1996 01 21 01 00   972.6    -5.3    19.5    82                                  
1996 01 21 02 00   972.8    -5.1    21.6    85                                  
1996 01 21 03 00   973.2    -5.4    21.1    74                                  
1996 01 21 04 00   973.7    -4.9    21.8    77                                  
1996 01 21 05 00   973.7    -5.2    22.8    80                                  
