Sushila
Operated by US
latitude -74.41 longitude 161.31 height 1441m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1988 02 01 06 00 -999      -16.1     2.9   330                                  
1988 02 01 09 00 -999      -18.0     6.2   358                                  
1988 02 01 12 00 -999      -21.9     8.2   344                                  
1988 02 01 15 00 -999      -23.5     7.8     2                                  
1988 02 01 18 00 -999      -25.7     8.8     7                                  
1988 02 01 21 00 -999      -21.2     6.2    28                                  
1988 02 02 00 00 -999      -17.7     3.3    30                                  
1988 02 02 03 00 -999      -15.5     2.3     2                                  
1988 02 02 06 00 -999      -15.1     0.0     0                                  
1988 02 02 09 00 -999      -17.6     4.3   360                                  
1988 02 02 12 00 -999      -18.2     1.0    37                                  
1988 02 02 15 00 -999      -20.9    17.9     4                                  
1988 02 02 18 00 -999      -22.0    14.4   360                                  
1988 02 02 21 00 -999      -18.1    11.1    33                                  
1988 02 03 00 00 -999      -15.2     7.8    14                                  
1988 02 03 03 00 -999      -13.1     4.3    47                                  
1988 02 03 06 00 -999      -14.7     9.2    33                                  
1988 02 03 09 00 -999      -16.4     7.8    36                                  
1988 02 03 12 00 -999      -16.9    11.1   360                                  
1988 02 03 15 00 -999      -16.5     7.8    21                                  
1988 02 03 18 00 -999      -21.6    17.9   360                                  
1988 02 03 21 00 -999      -21.0    17.0   360                                  
1988 02 04 00 00 -999      -19.0    17.4    12                                  
1988 02 04 03 00 -999      -17.4    16.4     7                                  
1988 02 04 06 00 -999      -17.5    13.1     7                                  
1988 02 04 09 00 -999      -20.2     9.8   358                                  
1988 02 04 12 00 -999      -23.7    11.1     5                                  
1988 02 04 15 00 -999      -27.0    12.5     9                                  
1988 02 04 18 00 -999      -25.6    10.1   358                                  
1988 02 04 21 00 -999      -22.0     3.9    60                                  
1988 02 05 00 00 -999      -18.4     2.9    26                                  
1988 02 05 03 00 -999      -17.5     6.2   358                                  
1988 02 05 06 00 -999      -16.6     9.2   347                                  
1988 02 05 09 00 -999      -18.6    10.1   357                                  
1988 02 05 12 00 -999      -21.9     7.2   360                                  
1988 02 05 15 00 -999      -21.5    12.1   354                                  
1988 02 05 18 00 -999      -21.4     9.2   360                                  
1988 02 05 21 00 -999      -19.9     9.8    15                                  
1988 02 06 00 00 -999      -19.2    15.0   360                                  
1988 02 06 03 00 -999      -18.9    16.4    39                                  
1988 02 06 06 00 -999      -18.9    14.0    33                                  
1988 02 06 09 00 -999      -22.9    16.4    22                                  
1988 02 06 12 00 -999      -24.9    20.9     8                                  
1988 02 06 15 00 -999      -27.4    21.3    12                                  
1988 02 06 18 00 -999      -27.0    21.3     4                                  
1988 02 06 21 00 -999      -25.6    21.8   360                                  
1988 02 07 00 00 -999      -21.9    17.9    12                                  
1988 02 07 03 00 -999      -20.4    20.3    25                                  
1988 02 07 06 00 -999      -19.9    16.4    18                                  
1988 02 07 09 00 -999      -22.0    13.1    15                                  
1988 02 07 12 00 -999      -26.2    20.3     2                                  
1988 02 07 15 00 -999      -29.7    26.5     4                                  
1988 02 07 18 00 -999      -26.7    24.6     1                                  
1988 02 07 21 00 -999      -23.1    20.9   358                                  
1988 02 08 00 00 -999      -19.9    20.9    29                                  
1988 02 08 03 00 -999      -16.6    13.1    23                                  
1988 02 08 06 00 -999      -16.1    12.5    50                                  
1988 02 08 09 00 -999      -19.9    12.1    15                                  
1988 02 08 12 00 -999      -24.5    14.0     1                                  
1988 02 08 15 00 -999      -26.2    18.3    15                                  
1988 02 08 18 00 -999      -28.0    21.3     1                                  
1988 02 08 21 00 -999      -25.6    14.0     9                                  
1988 02 09 00 00 -999      -22.1    15.0     5                                  
1988 02 09 03 00 -999      -18.6     6.8     8                                  
1988 02 09 06 00 -999      -18.6     9.2    19                                  
1988 02 09 09 00 -999      -21.6    10.7    12                                  
1988 02 09 12 00 -999      -26.4    18.3   360                                  
1988 02 09 15 00 -999      -28.5    17.4     4                                  
1988 02 09 18 00 -999      -29.4    15.4     7                                  
1988 02 09 21 00 -999      -27.5    26.1    21                                  
1988 02 10 00 00 -999      -23.6    18.3     9                                  
1988 02 10 03 00 -999      -21.5    14.4     9                                  
1988 02 10 06 00 -999      -21.2    18.3   352                                  
1988 02 10 09 00 -999      -23.4    17.0   360                                  
1988 02 10 12 00 -999      -27.4    12.5   360                                  
1988 02 10 15 00 -999      -28.5    16.0   360                                  
1988 02 10 18 00 -999      -25.1    14.0     9                                  
1988 02 10 21 00 -999      -22.4    13.5   360                                  
1988 02 11 00 00 -999      -21.1    17.9    40                                  
1988 02 11 03 00 -999      -19.0    12.5    12                                  
1988 02 11 06 00 -999      -20.9    21.3    47                                  
1988 02 11 09 00 -999      -23.6    20.9     2                                  
1988 02 11 12 00 -999      -26.6    22.2   360                                  
1988 02 11 15 00 -999      -28.7    18.9   360                                  
1988 02 11 18 00 -999      -30.4    16.4   358                                  
