Buckle Island
Operated by US
latitude -66.87 longitude 163.24 height 520m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1987 03 04 03 00   920.8    -5.4    30.8   264                                  
1987 03 04 06 00   920.8    -4.9    42.3   274                                  
1987 03 04 09 00   922.0    -6.6    49.1   264                                  
1987 03 04 12 00   924.9    -5.7    38.0   262                                  
1987 03 04 15 00   927.8    -6.1    45.2   269                                  
1987 03 04 18 00   931.0    -6.1    35.7   264                                  
1987 03 04 21 00   932.6    -5.5    39.0   266                                  
1987 03 05 03 00   934.8    -1.5    24.0   273                                  
1987 03 05 06 00   934.9    -1.4    22.6   280                                  
1987 03 05 09 00   934.1    -0.9     9.6   294                                  
1987 03 05 12 00   930.5     0.3    24.6   287                                  
1987 03 05 15 00   927.4    -0.1    29.8   295                                  
1987 03 05 18 00   926.7    -0.1    19.7   301                                  
1987 03 05 21 00   925.0     0.4    32.2   293                                  
1987 03 06 00 00   924.3     0.4    26.9   301                                  
1987 03 06 03 00   921.7     0.0    27.5   302                                  
1987 03 06 06 00   921.1    -1.7    21.3   278                                  
1987 03 06 09 00   922.6    -1.7    22.6   284                                  
1987 03 06 12 00   924.0    -1.7    29.4   287                                  
1987 03 06 15 00   925.7    -2.1    19.7   307                                  
1987 03 06 18 00   926.1    -1.7    23.6   305                                  
1987 03 06 21 00   927.7    -1.4    16.4   297                                  
1987 03 07 00 00   928.7    -1.4    23.6   283                                  
1987 03 07 03 00   930.4    -2.0    24.6   278                                  
1987 03 07 06 00   932.1    -1.4    16.8   288                                  
1987 03 07 09 00   932.6    -2.1    10.5   304                                  
1987 03 07 12 00   932.0    -4.1     0.4     0                                  
1987 03 07 15 00   929.2    -3.0    12.5    41                                  
1987 03 07 18 00   924.7    -2.5    20.3    58                                  
1987 03 07 21 00   919.0    -2.1    24.6    56                                  
1987 03 08 00 00   918.0     0.5    21.6   338                                  
1987 03 08 03 00   915.1     1.3    34.1   322                                  
1987 03 08 06 00   913.7     1.3    30.4   353                                  
1987 03 08 09 00   912.0     1.0    27.9   350                                  
1987 03 08 12 00   910.9     0.4    23.6   347                                  
1987 03 08 15 00   908.9    -0.8    25.9     7                                  
1987 03 08 18 00   909.5    -1.4    18.7   314                                  
1987 03 08 21 00   911.8    -3.8    25.0   277                                  
1987 03 09 00 00   913.9    -4.2    28.5   283                                  
1987 03 09 03 00   918.2    -4.1    24.0   264                                  
1987 03 09 06 00   919.9    -4.6    22.2   283                                  
1987 03 09 09 00   922.2    -4.1    10.5   302                                  
1987 03 09 12 00   921.7    -2.9    14.0    37                                  
1987 03 09 15 00   921.0    -2.0    17.4   328                                  
1987 03 09 18 00   921.4    -2.5    15.4     7                                  
1987 03 09 21 00   921.7    -2.2    17.7   338                                  
1987 03 10 00 00   921.5    -1.1    20.3   338                                  
1987 03 10 03 00   921.1    -1.9    24.0   315                                  
1987 03 10 06 00   921.4    -2.0    17.4   315                                  
1987 03 10 09 00   921.5    -2.4    22.2   300                                  
1987 03 10 12 00   922.1    -2.1    16.4   304                                  
1987 03 10 15 00   922.0    -2.1    17.7   315                                  
1987 03 10 18 00   921.4    -2.5     7.8   345                                  
1987 03 10 21 00   921.0    -2.5     4.9   305                                  
1987 03 11 00 00   920.8    -2.4     9.6   276                                  
1987 03 11 03 00   920.8    -3.5    15.0   266                                  
1987 03 11 06 00   922.0    -3.4    16.8   291                                  
1987 03 11 09 00   923.6    -3.2    15.0   301                                  
1987 03 11 12 00   924.9    -3.6     8.6   325                                  
1987 03 11 15 00   924.2    -2.5    10.1   308                                  
1987 03 11 18 00   923.8    -3.4    18.7   298                                  
1987 03 11 21 00   924.0    -2.9    12.1   325                                  
1987 03 12 00 00   923.3    -1.9     8.2   331                                  
1987 03 12 03 00   921.3    -1.6     2.0    25                                  
1987 03 12 06 00   916.5    -2.9     9.6    48                                  
1987 03 12 09 00   912.3    -3.0     5.8    89                                  
1987 03 12 12 00   909.2    -3.4    13.5   186                                  
1987 03 12 15 00   910.4    -3.4    15.0   221                                  
1987 03 12 18 00   914.0    -3.6    15.4   246                                  
1987 03 12 21 00   917.7    -3.9    11.5   288                                  
1987 03 13 00 00   920.6    -3.9    13.1   290                                  
1987 03 13 03 00   922.8    -4.2    21.6   260                                  
1987 03 13 06 00   924.8    -4.6    15.4   278                                  
1987 03 13 09 00   926.5    -4.9     3.3   298                                  
1987 03 13 12 00   927.2    -8.0     7.8    14                                  
