Mt Erebus
Operated by US
latitude -77.53 longitude 167.13 height 3700m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1989 12 13 00 00   606.6   -30.0    15.4   142                                  
1989 12 13 03 00   606.5   -29.6    13.8   187                                  
1989 12 13 06 00   606.5   -29.5    10.9   185                                  
1989 12 13 09 00   605.9   -30.4    10.9   181                                  
1989 12 13 12 00   606.0   -28.9     9.0   170                                  
1989 12 13 15 00   605.4   -26.5     5.8   180                                  
1989 12 13 18 00   605.0   -30.4     3.5    99                                  
1989 12 13 21 00   604.7   -29.5     9.4   133                                  
1989 12 14 00 00   604.5   -28.9    12.9   143                                  
1989 12 14 03 00   604.4   -28.3     3.9   130                                  
1989 12 14 06 00   604.1   -30.4     7.4   136                                  
1989 12 14 09 00   604.2   -29.9     6.4   137                                  
1989 12 14 12 00   604.3   -29.4     3.9   113                                  
1989 12 14 15 00   604.2   -24.5     1.6    40                                  
1989 12 14 18 00   604.2   -22.6     0.0     0                                  
1989 12 14 21 00   604.3   -23.6     0.0     0                                  
1989 12 15 00 00   604.4   -24.1     0.0     0                                  
1989 12 15 03 00   604.4   -26.3     3.9   351                                  
1989 12 15 06 00   604.4   -26.9     4.5    30                                  
1989 12 15 09 00   604.6   -25.4     0.0     0                                  
1989 12 15 12 00   604.4   -26.5     0.0     0                                  
1989 12 15 15 00   604.4   -24.9     0.0     0                                  
1989 12 15 18 00   604.6   -24.3     0.0     0                                  
1989 12 15 21 00   604.7   -23.4     2.0   254                                  
1989 12 16 00 00   605.1   -23.1     0.6     0                                  
1989 12 16 03 00   605.4   -24.0     2.0   129                                  
1989 12 16 06 00   605.6   -25.0     0.0     0                                  
1989 12 16 09 00   606.1   -24.0     1.0   115                                  
1989 12 16 12 00   606.2   -24.9     1.6   105                                  
1989 12 16 15 00   606.0   -23.9     3.5   116                                  
