LGB10_new
Operated by Australia
latitude -71.28 longitude 59.20 height 2620m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied byAAD

1990 01 01 00 50   714.8   -19.7     7.0   199                                  
1990 01 01 01 43   714.8   -19.7     7.8   208                                  
1990 01 01 03 26   714.8   -20.7     7.7   202                                  
1990 01 01 05 09   715.0   -18.2     7.0   231                                  
1990 01 01 09 26   715.5   -16.2     6.5   196                                  
1990 01 01 10 16   715.7   -16.2     6.4   189                                  
1990 01 01 11 09   715.9   -15.9     6.4   197                                  
1990 01 01 12 00   716.1   -15.8     6.5   194                                  
1990 01 01 12 52   715.7   -15.7     6.0   202                                  
1990 01 01 13 43   716.1   -16.0     5.5   203                                  
1990 01 01 14 35   716.1   -16.3     5.5   218                                  
1990 01 01 15 26   716.3   -16.2     4.9   218                                  
1990 01 01 16 16   716.5   -16.5     5.2   215                                  
1990 01 01 17 09   716.5   -16.6     5.1   208                                  
1990 01 01 18 00   716.3   -16.8     4.7   202                                  
1990 01 01 18 52   716.7   -16.9     4.2   227                                  
1990 01 01 19 43   716.7   -17.0     4.6   209                                  
1990 01 01 20 35   716.7   -17.6     5.8   217                                  
1990 01 01 21 26   716.7   -19.4     6.5   214                                  
1990 01 01 22 18   717.2   -22.6     4.2   273                                  
1990 01 01 23 09   717.2   -23.6     5.1   259                                  
1990 01 02 00 01   717.2   -24.1     5.2   254                                  
1990 01 02 00 52   717.2   -23.2     6.9   248                                  
1990 01 02 01 43   717.0   -23.3     7.4   225                                  
1990 01 02 02 35   716.7   -22.7     6.9   223                                  
1990 01 02 03 26   716.7   -22.7     6.9   223                                  
1990 01 02 05 09   716.3   -20.8     5.7   200                                  
1990 01 02 06 01   716.2   -18.8     6.3   205                                  
1990 01 02 07 44   715.7   -17.5     6.6   205                                  
1990 01 02 09 27   715.3   -17.0     7.9   187                                  
1990 01 02 11 09   714.7   -16.8     7.2   187                                  
1990 01 02 12 01   714.1   -17.3     8.1   190                                  
1990 01 02 12 52   714.1   -17.4     7.9   192                                  
1990 01 02 13 44   713.5   -17.8     7.5   181                                  
1990 01 02 14 35   712.8   -18.4     7.8   189                                  
1990 01 02 15 27   712.8   -18.4     7.8   189                                  
1990 01 02 16 18   712.0   -19.7     7.2   184                                  
1990 01 02 17 10   712.0   -19.7     7.2   184                                  
1990 01 02 18 01   710.7   -21.7     6.8   196                                  
1990 01 02 18 53   710.7   -21.7     6.8   196                                  
1990 01 02 19 44   709.9   -22.9     6.3   199                                  
1990 01 02 21 27   709.7   -23.9     6.8   187                                  
1990 01 02 23 10   708.9   -21.1     8.0   168                                  
1990 01 03 00 53   709.3   -19.8     8.0   150                                  
1990 01 03 02 36   709.7   -19.4     8.7   152                                  
1990 01 03 04 19   710.0   -18.3    10.2   141                                  
1990 01 03 06 01   710.6   -17.4     9.3   143                                  
1990 01 03 07 44   711.0   -16.5     8.7   140                                  
1990 01 03 09 27   711.2   -16.8     8.7   158                                  
1990 01 03 11 10   711.2   -17.0     9.5   155                                  
1990 01 03 12 53   711.0   -17.9     9.5   168                                  
1990 01 03 14 36   710.7   -18.4     8.4   180                                  
1990 01 03 16 19   710.0   -19.7     7.2   183                                  
1990 01 03 18 02   709.3   -22.3     7.2   193                                  
