Nancy
Operated by US
latitude -77.91 longitude 168.17 height 25m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1983 01 17 00 00   994.8 -999       11.7   180                                  
1983 01 30 00 00  1003.9   -11.5    12.5   170                                  
1983 01 30 03 00  1003.7   -10.9    10.3   161                                  
1983 01 30 06 00  1002.7   -10.8     6.8   141                                  
1983 01 30 09 00  1002.1   -11.3     2.7   120                                  
1983 01 30 12 00  1001.5   -11.6     1.0     0                                  
1983 01 30 15 00  1000.7   -12.8     2.7   135                                  
1983 01 30 18 00  1000.8   -12.8     1.8    79                                  
1983 01 30 21 00  1001.1   -12.5     3.1   120                                  
1983 01 31 00 00  1001.2   -11.3     3.5   135                                  
1983 01 31 03 00  1000.9   -10.3     4.9    90                                  
1983 01 31 06 00  1000.7   -11.4     6.2   104                                  
1983 01 31 09 00  1001.3   -11.9     6.2    90                                  
1983 01 31 12 00  1002.0   -12.4     5.5    83                                  
1983 01 31 15 00  1002.8   -13.0     4.9    90                                  
1983 01 31 18 00  1003.6   -12.5     5.5   141                                  
1983 01 31 21 00  1004.5   -11.9     6.2   135                                  
1983 02 01 00 00  1010.3   -11.8     6.8   141                                  
1983 02 01 03 00  1010.3   -11.3     5.8   141                                  
1983 02 01 06 00  1010.5   -11.1     5.8   141                                  
1983 02 01 09 00  1011.3   -11.3     6.2   159                                  
1983 02 01 12 00  1012.4   -11.9     4.9   180                                  
1983 02 01 15 00  1012.6   -12.1     4.5   180                                  
1983 02 01 18 00  1013.1   -12.4     7.2   180                                  
1983 02 01 21 00  1014.2   -14.5     5.8   166                                  
1983 02 02 00 00  1014.4   -13.1     8.6   139                                  
1983 02 02 03 00  1013.8   -12.6     1.8   141                                  
1983 02 02 06 00  1013.7   -16.0     1.8   360                                  
1983 02 02 09 00  1013.0   -17.5     0.0     0                                  
1983 02 02 12 00  1013.4   -16.8     1.4    97                                  
1983 02 02 15 00  1013.0   -20.3     1.4   349                                  
1983 02 02 18 00  1012.4   -13.6     3.1   270                                  
1983 02 02 21 00  1012.8   -15.5     1.0     0                                  
1983 02 03 00 00  1012.9   -10.6     0.0     0                                  
