Dolleman Island
Operated by US
latitude -70.58 longitude -60.92 height 396m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1986 03 03 12 00   963.5    -3.5     8.4   355                                  
1986 03 03 15 00   962.5    -2.2     7.4   343                                  
1986 03 03 18 00   961.4    -2.0    12.3   355                                  
1986 03 03 21 00   960.4    -2.9    10.3   352                                  
1986 03 04 00 00   960.3    -2.2     4.9   326                                  
1986 03 04 03 00   960.0    -7.4    12.9   146                                  
1986 03 04 06 00   960.0    -7.0    10.3   132                                  
1986 03 04 09 00   959.5    -1.6     4.5   116                                  
1986 03 04 12 00   960.1     4.2     0.0     0                                  
1986 03 04 15 00   959.9     2.4     7.8   105                                  
1986 03 04 18 00   960.5     1.5     6.4   347                                  
1986 03 04 21 00   960.7    -1.4     5.8    39                                  
1986 03 05 00 00   961.4    -3.4     4.9   334                                  
1986 03 05 03 00   961.7    -2.4     8.8   109                                  
1986 03 05 06 00   962.6    -4.6     1.0   232                                  
1986 03 05 09 00   962.4    -6.5     6.4   272                                  
1986 03 05 12 00   961.8    -4.2    10.3   262                                  
1986 03 05 18 00   958.2    -0.9     2.0   265                                  
1986 03 05 21 00   956.1    -1.0     0.0     0                                  
1986 03 06 00 00   954.7    -4.6     4.9   185                                  
1986 03 06 03 00   954.6    -4.6     3.9   118                                  
1986 03 06 06 00   954.2    -7.2     5.5   164                                  
1986 03 06 09 00   954.1    -7.4     2.5   147                                  
1986 03 06 12 00   952.7    -5.2     0.0     0                                  
1986 03 06 15 00   951.2    -4.5     2.9    23                                  
1986 03 06 18 00   949.0    -6.3     7.4   351                                  
1986 03 06 21 00   947.6    -8.2     9.4   341                                  
1986 03 07 00 00   946.2   -11.9     8.8   347                                  
1986 03 07 03 00   944.5    -9.6     6.4   327                                  
1986 03 07 06 00   942.4    -9.4     3.5   336                                  
1986 03 07 09 00   942.0   -10.9     3.5   357                                  
1986 03 07 12 00   941.6   -10.2    10.3   115                                  
1986 03 07 15 00   941.2   -10.4     9.4   143                                  
1986 03 07 18 00   940.2   -11.4    10.7   122                                  
1986 03 07 21 00   939.4   -13.9    10.7   132                                  
1986 03 08 00 00   938.7   -15.5    13.8   136                                  
1986 03 08 03 00   937.7   -16.9    19.1   153                                  
1986 03 08 06 00   936.6   -18.5    17.7   150                                  
1986 03 08 09 00   935.9   -18.6    16.2   164                                  
1986 03 08 12 00   935.2   -20.0    27.5   163                                  
1986 03 08 15 00   935.0   -18.4    30.0   158                                  
1986 03 08 18 00   936.1   -18.5    29.1   167                                  
1986 03 08 21 00   936.2   -19.1    31.4   171                                  
1986 03 09 00 00   937.0   -19.0    31.4   165                                  
1986 03 09 03 00   938.1   -17.9    25.5   168                                  
1986 03 09 06 00   938.0   -18.5     8.4   232                                  
1986 03 09 09 00   938.5   -19.9    10.3   137                                  
1986 03 09 12 00   937.9   -19.6     5.5   157                                  
1986 03 09 15 00   936.4   -19.1     5.8   151                                  
1986 03 09 18 00   935.3   -18.1     3.9   157                                  
1986 03 09 21 00   934.5   -19.9     8.4   167                                  
1986 03 10 00 00   934.4   -16.0     3.9   267                                  
1986 03 10 03 00   934.6   -15.6     6.4   187                                  
1986 03 10 06 00   935.2   -18.1     7.8   156                                  
1986 03 10 09 00   936.1   -15.6     2.9   127                                  
1986 03 10 12 00   936.4   -15.9     8.4     5                                  
1986 03 10 15 00   936.4   -15.1     9.8   340                                  
1986 03 10 18 00   936.4   -14.9     4.9    19                                  
1986 03 10 21 00   935.9   -16.9     8.8   358                                  
1986 03 11 00 00   935.7   -17.5     7.8    12                                  
1986 03 11 03 00   935.4   -19.0     7.4    88                                  
1986 03 11 06 00   935.0   -18.0     5.8   101                                  
1986 03 11 09 00   934.7   -17.7     2.0    90                                  
1986 03 11 12 00   934.1   -15.7     4.9    81                                  
1986 03 11 15 00   933.9   -13.2     2.5   125                                  
1986 03 11 18 00   933.4   -14.7     8.4   142                                  
1986 03 11 21 00   933.0   -16.1    11.3   137                                  
1986 03 12 00 00   933.4   -17.2    14.2   153                                  
1986 03 12 03 00   932.7   -16.6    19.1   158                                  
1986 03 12 06 00   932.6   -16.0    22.0   178                                  
1986 03 12 09 00   932.8   -15.9    20.1   172                                  
1986 03 12 12 00   933.5   -14.9    24.0   170                                  
1986 03 12 15 00   933.6   -13.6    22.6   167                                  
1986 03 12 18 00   934.2   -13.6    22.6   154                                  
1986 03 12 21 00   934.3   -13.2    19.7   167                                  
1986 03 13 00 00   934.7   -13.5    19.7   164                                  
1986 03 13 03 00   934.2   -13.5    18.7   156                                  
1986 03 13 06 00   934.1   -12.7    22.6   157                                  
1986 03 13 09 00   934.4   -12.1    16.8   158                                  
1986 03 13 12 00   934.8   -11.1    21.1   156                                  
1986 03 13 15 00   935.6   -10.7    16.8   165                                  
1986 03 13 18 00   936.4   -10.0    17.2   156                                  
1986 03 13 21 00   938.0   -10.0    13.8   168                                  
1986 03 16 00 00   941.7   -11.4    31.0   180                                  
1986 03 16 03 00   941.3   -11.7    29.4   178                                  
1986 03 16 06 00   942.5   -12.4    32.0   178                                  
1986 03 16 09 00   943.9   -12.6    30.4   172                                  
1986 03 16 12 00   945.5   -12.4    30.0   160                                  
1986 03 16 15 00   946.9   -13.1    25.2   163                                  
1986 03 16 18 00   947.7   -13.1    21.6   161                                  
1986 03 16 21 00   947.6   -13.5    28.5   154                                  
1986 03 17 00 00   948.0   -13.5    29.4   154                                  
1986 03 17 03 00   947.7   -12.6    32.0   164                                  
1986 03 17 06 00   948.2   -11.9    25.5   156                                  
1986 03 17 09 00   948.1   -12.4    21.1   161                                  
1986 03 17 12 00   948.4   -12.6    26.5   157                                  
1986 03 17 15 00   949.4   -12.4    22.0   157                                  
1986 03 17 18 00   950.0   -11.9    19.7   156                                  
1986 03 17 21 00   950.2   -11.9    25.2   170                                  
1986 03 18 00 00   949.7   -11.2    27.1   154                                  
1986 03 18 03 00   949.5   -11.2    23.6   149                                  
1986 03 18 06 00   949.6   -11.4    19.1   151                                  
1986 03 18 09 00   949.8   -11.2    15.2   156                                  
1986 03 18 12 00   949.6   -10.7    16.8   154                                  
1986 03 18 15 00   949.2   -10.5    17.2   153                                  
1986 03 18 18 00   949.3   -10.4    12.9   158                                  
1986 03 18 21 00   949.0   -11.2    11.3   142                                  
1986 03 19 00 00   949.2   -11.4    13.3   144                                  
1986 03 19 03 00   948.8   -11.4    15.8   153                                  
1986 03 19 06 00   948.5   -11.5    15.2   161                                  
1986 03 19 09 00   948.9   -11.9    12.3   156                                  
1986 03 19 12 00   949.1   -12.4    12.9   149                                  
