AM02_new
Operated by Australia
latitude -69.70 longitude 72.63 height 47m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied byAAD

2001 02 06 03 02   982.4    -2.4     9.9    60                                  
2001 02 06 05 03   983.8    -2.2    10.5    60                                  
2001 02 06 10 03   988.0    -2.7     8.8    60                                  
2001 02 06 11 03   988.8    -2.7     7.4    54                                  
2001 02 06 12 02   989.4    -2.9     6.4    66                                  
2001 02 06 14 03   990.8    -4.1     4.2    96                                  
2001 02 06 15 02   991.4    -6.0     3.2   108                                  
2001 02 06 17 03   992.8    -5.0     2.2   138                                  
2001 02 06 19 03   993.8    -4.1     2.7   180                                  
2001 02 06 20 03   994.2    -5.2     3.6   174                                  
2001 02 06 22 03   994.8    -6.1     2.7   156                                  
2001 02 07 00 02   995.2    -7.4     2.7   102                                  
2001 02 07 01 03   995.4    -7.8     4.6    96                                  
2001 02 07 03 04   995.2    -7.1     6.6    96                                  
2001 02 07 05 03   995.2    -5.6     6.4    84                                  
2001 02 07 07 03   995.4    -5.1     4.5   156                                  
2001 02 07 09 04   995.4    -4.9     4.5   210                                  
2001 02 07 10 03   995.0    -5.3     4.1   210                                  
2001 02 07 12 04   995.2    -6.1     2.8   216                                  
2001 02 07 13 03   995.2    -6.4     1.9   222                                  
2001 02 07 14 03   995.2    -7.6     0.9   222                                  
2001 02 07 15 04   995.2    -8.0     0.3   222                                  
2001 02 07 18 04   996.0   -15.0     1.6   192                                  
2001 02 07 20 03   996.0   -13.9     0.8   174                                  
2001 02 07 23 03   996.0   -14.9     1.3   144                                  
2001 02 08 00 04   996.0   -16.0     1.8   180                                  
2001 02 08 01 03   996.0   -16.8     2.0   180                                  
2001 02 08 03 04   995.6   -12.1     2.0   180                                  
2001 02 08 04 03   995.2   -10.1     1.8   180                                  
2001 02 08 05 03   994.8   -10.0     2.4   192                                  
2001 02 08 07 03   994.0    -8.0     3.9   204                                  
2001 02 08 08 03   993.4    -7.6     3.8   192                                  
2001 02 08 10 03   992.0    -7.3     5.0   204                                  
2001 02 08 11 03   991.6    -6.7     5.5   204                                  
2001 02 08 12 04   991.0    -6.0     5.6   198                                  
2001 02 08 13 03   990.8    -5.5     5.7   186                                  
2001 02 08 15 04   991.0    -4.9     1.9   102                                  
2001 02 08 16 03   990.6    -5.2     1.7   132                                  
2001 02 08 17 03   990.2    -5.0     3.3   180                                  
2001 02 08 18 04   990.2    -4.7     4.7   180                                  
2001 02 08 20 03   989.8    -3.2     3.6   168                                  
2001 02 08 21 04   989.6    -2.2     4.0   114                                  
2001 02 08 22 03   989.6    -2.1     5.1   108                                  
2001 02 08 23 03   989.6    -1.9     5.2   108                                  
2001 02 09 00 04   989.4    -1.8     4.8    84                                  
2001 02 09 01 03   989.8    -1.5     4.0    96                                  
2001 02 09 02 03   989.4    -1.4     5.5    78                                  
2001 02 09 04 03   989.2    -0.4     5.9   102                                  
2001 02 09 05 03   989.4    -0.4     7.6    96                                  
2001 02 09 07 03   989.4    -0.3     5.7    84                                  
2001 02 09 10 03   988.2    -0.2     6.2    96                                  
2001 02 09 11 03   987.4     0.2     4.9    96                                  
2001 02 09 13 03   986.4    -0.5     9.0    84                                  
2001 02 09 14 03   985.8    -0.8     8.0    84                                  
2001 02 09 15 04   985.0    -0.6     7.9    90                                  
2001 02 09 16 03   984.6    -1.1    10.4    90                                  
2001 02 09 17 03   984.2    -1.5    14.1    72                                  
2001 02 09 18 04   983.8    -1.4    12.3    78                                  
2001 02 09 19 03   983.8    -1.4    11.5    72                                  
2001 02 09 20 03   983.6    -1.3    11.2    66                                  
2001 02 09 21 04   983.2    -1.3    12.1    66                                  
2001 02 09 22 03   983.2    -1.3    12.7    60                                  
2001 02 09 23 03   983.4    -1.1    13.2    54                                  
2001 02 10 00 04   983.8    -1.1    13.3    54                                  
2001 02 10 02 03   984.4    -0.9    12.0    60                                  
2001 02 10 04 03   985.6    -0.7    10.6    54                                  
2001 02 10 05 03   986.2    -0.6    11.7    54                                  
2001 02 10 06 04   986.6    -0.5    11.2    54                                  
2001 02 10 08 03   987.0    -0.3    11.2    60                                  
2001 02 10 10 03   987.0    -0.7     7.6    72                                  
2001 02 10 11 03   986.8    -0.7     7.5    72                                  
2001 02 10 12 04   986.0    -0.7     7.2    78                                  
2001 02 10 13 03   985.4    -0.8     6.6    84                                  
2001 02 10 14 03   984.6    -1.2     4.5   114                                  
