Kelly
Operated by US
latitude -89.00 longitude -179.61 height 2950m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1993 02 07 21 00 -999      -41.6     8.8   244                                  
1993 02 08 00 00 -999      -41.6     6.8   257                                  
1993 02 08 03 00 -999      -40.8     5.7   272                                  
1993 02 08 06 00 -999      -40.6     6.0   255                                  
1993 02 08 09 00 -999      -41.0     5.7   265                                  
1993 02 08 12 00 -999      -42.0     6.8   248                                  
1993 02 08 15 00 -999      -41.1     3.7   281                                  
1993 02 08 18 00 -999      -42.5     7.2   240                                  
1993 02 08 21 00 -999      -42.4     6.4   240                                  
1993 02 09 00 00 -999      -41.8     6.4   251                                  
1993 02 09 03 00 -999      -41.1     6.4   243                                  
1993 02 09 06 00 -999      -41.8     5.3   258                                  
1993 02 09 09 00 -999      -41.9     7.6   250                                  
1993 02 09 12 00 -999      -41.9     5.7   279                                  
1993 02 09 15 00 -999      -41.6     8.8   253                                  
1993 02 09 18 00 -999      -41.0     8.0   251                                  
1993 02 09 21 00 -999      -41.1     9.6   253                                  
1993 02 10 00 00 -999      -40.6     8.0   255                                  
1993 02 10 03 00 -999      -40.6     6.4   270                                  
1993 02 10 06 00 -999      -39.5     4.9   265                                  
1993 02 10 09 00 -999      -40.0     4.5   267                                  
1993 02 10 12 00 -999      -41.6     5.3   253                                  
1993 02 10 15 00 -999      -39.0     6.0   236                                  
1993 02 10 18 00 -999      -34.9     8.4   229                                  
1993 02 10 21 00 -999      -38.6     8.8   243                                  
1993 02 11 00 00 -999      -40.5     6.0   229                                  
1993 02 11 03 00 -999      -40.8     7.6   236                                  
1993 02 11 06 00 -999      -41.6     8.4   243                                  
1993 02 11 09 00 -999      -41.6     6.0   272                                  
1993 02 11 12 00 -999      -41.3     9.2   253                                  
1993 02 11 15 00 -999      -41.9     7.6   255                                  
1993 02 11 18 00 -999      -40.6     7.2   244                                  
1993 02 11 21 00 -999      -39.8     9.2   254                                  
1993 02 12 00 00 -999      -40.6     9.6   239                                  
1993 02 12 03 00 -999      -41.1     9.6   222                                  
1993 02 12 06 00 -999      -41.3     8.8   223                                  
1993 02 12 09 00 -999      -40.6     9.6   222                                  
1993 02 12 12 00 -999      -41.3    11.1   233                                  
1993 02 12 15 00 -999      -41.0    14.0   222                                  
1993 02 12 18 00 -999      -41.1    12.5   208                                  
1993 02 12 21 00 -999      -40.8    11.1   201                                  
1993 02 13 00 00 -999      -39.9    10.3   194                                  
1993 02 13 03 00 -999      -41.1    11.1   198                                  
1993 02 13 06 00 -999      -42.5     7.2   212                                  
1993 02 13 09 00 -999      -41.9     2.7   222                                  
1993 02 13 12 00 -999      -44.9     3.7   293                                  
1993 02 13 15 00 -999      -45.4     2.7   284                                  
1993 02 13 18 00 -999      -46.4     3.5   281                                  
1993 02 13 21 00 -999      -46.1     2.7   291                                  
1993 02 14 00 00 -999      -46.5     1.2   298                                  
1993 02 14 03 00 -999      -44.0     0.0     0                                  
1993 02 14 06 00 -999      -44.5     0.0     0                                  
1993 02 14 09 00 -999      -46.0     1.6   310                                  
1993 02 14 12 00 -999      -46.5     0.0     0                                  
1993 02 14 15 00 -999      -49.0     2.0   265                                  
1993 02 14 18 00 -999      -47.1     0.0     0                                  
1993 02 14 21 00 -999      -45.6     1.2   299                                  
1993 02 15 00 00 -999      -49.1     2.0   310                                  
1993 02 15 03 00 -999      -44.9     0.0     0                                  
1993 02 15 06 00 -999      -45.8     0.0     0                                  
1993 02 15 09 00 -999      -45.9     0.0     0                                  
1993 02 15 12 00 -999      -45.8     2.0   205                                  
1993 02 15 15 00 -999      -46.1     0.8   154                                  
1993 02 15 18 00 -999      -46.4     8.8   129                                  
1993 02 15 21 00 -999      -43.5     8.8   119                                  
1993 02 16 00 00 -999      -42.3     9.2   115                                  
1993 02 16 03 00 -999      -40.3     8.0   109                                  
1993 02 16 06 00 -999      -36.4     4.5    94                                  
1993 02 16 09 00 -999      -31.0     3.1    99                                  
1993 02 16 12 00 -999      -30.1     4.5    95                                  
1993 02 16 15 00 -999      -30.4     4.5    90                                  
1993 02 16 18 00 -999      -30.4     2.3    92                                  
1993 02 16 21 00 -999      -31.4     6.0   105                                  
1993 02 17 00 00 -999      -32.1     7.2   113                                  
1993 02 17 03 00 -999      -32.8     5.7   150                                  
1993 02 17 06 00 -999      -36.4     5.7   146                                  
1993 02 17 09 00 -999      -36.9     0.4   151                                  
