Clamp4
Operated by UK
latitude -76.81 longitude -25.50 height 1650m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the British Antarctic Survey

1997 12 11 09 00 -999      -13.5     4.9   327                                  
1997 12 11 10 00 -999      -12.8     4.5   329                                  
1997 12 11 11 00 -999      -12.5     6.8   330                                  
1997 12 11 12 00 -999      -13.5     7.4   287                                  
1997 12 11 13 00 -999      -13.5     5.8   283                                  
1997 12 11 14 00 -999      -13.3     7.2   275                                  
1997 12 11 15 00 -999      -13.2     5.7   268                                  
1997 12 11 16 00 -999      -12.3     4.5   325                                  
1997 12 11 17 00 -999      -12.2     7.6   323                                  
1997 12 11 18 00 -999      -13.0     7.2   301                                  
1997 12 11 19 00 -999      -13.3     9.8   273                                  
1997 12 11 20 00 -999      -13.5     5.7   264                                  
1997 12 11 21 00 -999      -14.0     8.0   249                                  
1997 12 11 22 00 -999      -14.3     7.0   244                                  
1997 12 11 23 00 -999      -14.3     1.4   220                                  
1997 12 12 00 00 -999      -14.6     5.3   237                                  
1997 12 12 01 00 -999      -14.8     2.1   272                                  
1997 12 12 02 00 -999      -14.8     2.9   306                                  
1997 12 12 03 00 -999      -15.2     3.7   211                                  
1997 12 12 04 00 -999      -15.1     2.3   238                                  
1997 12 12 05 00 -999      -15.1     2.5   255                                  
1997 12 12 06 00 -999      -15.6     3.3   185                                  
1997 12 12 07 00 -999      -15.2     1.4   264                                  
1997 12 12 08 00 -999      -15.1     2.5   234                                  
1997 12 12 09 00 -999      -15.4     4.7   283                                  
1997 12 12 10 00 -999      -15.0     3.7   328                                  
1997 12 12 11 00 -999      -15.4     3.9   311                                  
1997 12 12 12 00 -999      -15.2     1.2   287                                  
1997 12 12 13 00 -999      -15.2     5.3   283                                  
1997 12 12 14 00 -999      -15.1     4.1   244                                  
1997 12 12 15 00 -999      -14.8     2.7   278                                  
1997 12 12 16 00 -999      -14.6     2.9   260                                  
1997 12 12 17 00 -999      -14.6     2.3   261                                  
1997 12 12 18 00 -999      -12.0     0.0    20                                  
1997 12 12 19 00 -999      -14.7     2.1   311                                  
1997 12 12 20 00 -999      -14.9     1.9     3                                  
1997 12 12 21 00 -999      -15.0     2.1    20                                  
1997 12 12 22 00 -999      -19.0     6.4    18                                  
1997 12 12 23 00 -999      -18.0     4.5   359                                  
1997 12 13 00 00 -999      -18.4     3.5   351                                  
1997 12 13 01 00 -999      -18.5     2.9   351                                  
1997 12 13 02 00 -999      -19.0     4.7     6                                  
1997 12 13 03 00 -999      -19.4     3.5   356                                  
1997 12 13 04 00 -999      -19.7     3.7     9                                  
1997 12 13 05 00 -999      -19.8     2.7    10                                  
1997 12 13 06 00 -999      -19.9     3.5     8                                  
1997 12 13 07 00 -999      -19.5     4.9   348                                  
1997 12 13 08 00 -999      -19.4     2.7    16                                  
1997 12 13 09 00 -999      -21.4     2.3    69                                  
1997 12 13 10 00 -999      -19.1     5.1    27                                  
1997 12 13 11 00 -999      -17.5     4.5    33                                  
1997 12 13 12 00 -999      -16.8     6.2    22                                  
1997 12 13 13 00 -999      -16.1     5.8    14                                  
1997 12 13 14 00 -999      -16.2     6.2   352                                  
1997 12 13 15 00 -999      -16.1     7.2   354                                  
1997 12 13 16 00 -999      -15.6     7.4   338                                  
1997 12 13 17 00 -999      -16.0     5.7     5                                  
1997 12 13 18 00 -999      -16.2     6.2   349                                  
1997 12 13 19 00 -999      -16.7     6.8   335                                  
1997 12 13 20 00 -999      -18.1     3.9   329                                  
1997 12 13 21 00 -999      -18.3     2.1    11                                  
1997 12 13 22 00 -999      -19.4     1.6   357                                  
1997 12 13 23 00 -999      -19.9     4.1   297                                  
1997 12 14 00 00 -999      -20.6     0.2   258                                  
1997 12 14 01 00 -999      -20.3     0.0   235                                  
1997 12 14 02 00 -999      -20.1     1.6    87                                  
1997 12 14 03 00 -999      -17.9     4.3   205                                  
1997 12 14 04 00 -999      -19.4     4.3   102                                  
1997 12 14 05 00 -999      -18.3     3.7    97                                  
1997 12 14 06 00 -999      -16.6     0.0    20                                  
1997 12 14 07 00 -999      -15.3     1.8   311                                  
1997 12 14 08 00 -999      -14.7     1.9   324                                  
1997 12 14 09 00 -999      -15.6     5.1   315                                  
1997 12 14 10 00 -999      -15.5     4.3   305                                  
1997 12 14 11 00 -999      -15.4     5.7   307                                  
1997 12 14 12 00 -999      -14.6     6.2   306                                  
1997 12 14 13 00 -999      -14.2     9.6   319                                  
1997 12 14 14 00 -999    -999        7.0   312                                  
1997 12 14 15 00 -999      -13.6     5.1   323                                  
1997 12 14 16 00 -999      -13.4     5.5   330                                  
1997 12 14 17 00 -999      -14.5     5.5   340                                  
1997 12 14 18 00 -999    -999        6.8   354                                  
1997 12 14 19 00 -999      -14.0     5.7    10                                  
1997 12 14 20 00 -999      -14.3     7.2    17                                  
1997 12 14 21 00 -999      -14.6     6.8    17                                  
1997 12 14 22 00 -999      -16.2     5.5    22                                  
1997 12 14 23 00 -999      -18.1     6.2    47                                  
1997 12 15 00 00 -999      -17.1     7.0    40                                  
1997 12 15 01 00 -999      -16.1     9.0    30                                  
1997 12 15 02 00 -999      -15.9     6.6    21                                  
1997 12 15 03 00 -999      -16.2     5.1    31                                  
1997 12 15 04 00 -999      -16.0     3.7    33                                  
1997 12 15 05 00 -999      -16.0     2.9    43                                  
1997 12 15 06 00 -999      -16.3     2.1    74                                  
1997 12 15 07 00 -999      -16.0     2.5    88                                  
1997 12 15 08 00 -999      -15.2     2.3    66                                  
1997 12 15 09 00 -999      -15.1     2.7    73                                  
1997 12 15 10 00 -999      -14.8     2.5    98                                  
1997 12 15 11 00 -999      -14.7     3.3    69                                  
1997 12 15 12 00 -999      -14.6     3.5    76                                  
1997 12 15 13 00 -999      -14.4     3.1    81                                  
1997 12 15 14 00 -999      -14.1     2.9    92                                  
1997 12 15 15 00 -999      -13.7     1.9    85                                  
1997 12 15 16 00 -999      -10.4     1.0   129                                  
1997 12 15 17 00 -999      -12.3     1.4   149                                  
1997 12 15 18 00 -999      -13.3     3.9   164                                  
1997 12 15 19 00 -999      -13.5     5.1   163                                  
1997 12 15 20 00 -999      -14.3     5.3   159                                  
