LGB00_a_new
Operated by Australia
latitude -68.65 longitude 61.10 height 1830m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied byAAD

1987 12 09 15 55   784.9   -18.0     3.3 -999                                   
1987 12 09 16 49   785.2   -19.7     4.4 -999                                   
1987 12 09 18 35   783.3   -22.0     6.3 -999                                   
1987 12 09 22 08   782.5   -25.3     8.0 -999                                   
1987 12 09 23 56   780.7   -24.4     8.7 -999                                   
1987 12 10 01 42   782.2   -22.9     8.6 -999                                   
1987 12 10 03 28   782.2   -20.2     8.7 -999                                   
1987 12 10 04 22   778.1   -18.9     8.7 -999                                   
1987 12 10 05 16   780.7   -17.2     8.0 -999                                   
1987 12 10 06 09   777.8   -16.1     7.9 -999                                   
1987 12 10 08 49   778.6   -14.4     6.3 -999                                   
1987 12 10 09 42   778.1   -14.6     6.1 -999                                   
1987 12 10 10 36   776.5   -14.4     6.1 -999                                   
1987 12 10 11 29   777.4   -14.1     5.2 -999                                   
1987 12 10 13 15   775.8   -14.4     4.3 -999                                   
1987 12 10 15 03   772.7   -15.0     3.3 -999                                   
1987 12 10 16 49   777.9   -15.6     2.6 -999                                   
1987 12 10 18 35   776.8   -16.9     2.7 -999                                   
1987 12 10 20 23   776.3   -17.5     1.7 -999                                   
1987 12 10 22 08   776.6   -17.8     2.7 -999                                   
1987 12 10 23 02   776.5   -17.9     2.9 -999                                   
1987 12 10 23 56   776.9   -17.7     3.8 -999                                   
1987 12 11 00 48   777.3   -17.6     4.7 -999                                   
1987 12 11 01 42   777.4   -17.3     4.6 -999                                   
1987 12 11 02 36   779.1   -16.8     4.4 -999                                   
1987 12 11 04 22   778.6   -15.6     5.3 -999                                   
1987 12 11 06 09   779.2   -14.0     3.5 -999                                   
1987 12 11 07 56   782.0   -11.9     1.8 -999                                   
1987 12 11 09 42   779.1   -13.1     1.7 -999                                   
1987 12 11 11 29   781.5   -14.3     3.1 -999                                   
1987 12 11 13 15   783.0   -15.0     3.8 -999                                   
1987 12 11 15 03   782.6   -14.9     4.3 -999                                   
1987 12 11 16 49   780.0   -15.5     4.6 -999                                   
1987 12 11 17 43   780.9   -15.5     4.7 -999                                   
1987 12 11 18 35   780.9   -15.8     5.4 -999                                   
1987 12 11 19 28   780.2   -15.9     4.8 -999                                   
1987 12 11 20 23   779.9   -16.1     4.1 -999                                   
1987 12 11 21 16   781.5   -16.0     4.0 -999                                   
1987 12 11 22 08   780.2   -16.2     3.1 -999                                   
1987 12 11 23 02   781.5   -16.4     2.5 -999                                   
1987 12 12 00 49   779.6   -15.6     3.8 -999                                   
1987 12 12 02 36   780.2   -15.5     6.2 -999                                   
1987 12 12 04 22   779.9   -14.8     6.2 -999                                   
1987 12 12 06 09   780.2   -14.0     6.3 -999                                   
1987 12 12 09 42   779.4   -13.6     8.3 -999                                   
1987 12 12 11 30   779.9   -13.3     7.4 -999                                   
1987 12 12 12 22   779.7   -13.6     6.6 -999                                   
1987 12 12 13 15   779.9   -13.7     6.2 -999                                   
1987 12 12 14 10   781.5   -13.9     5.2 -999                                   
1987 12 12 15 03   779.2   -14.0     4.0 -999                                   
1987 12 12 15 55   779.1   -14.4     3.0 -999                                   
1987 12 12 16 49   779.2   -14.8     1.6 -999                                   
1987 12 12 17 43   779.1   -15.1     1.5 -999                                   
1987 12 12 18 35   781.5   -16.1     1.6 -999                                   
1987 12 12 19 30   778.4   -17.5     2.7 -999                                   
1987 12 12 21 16   778.9   -16.4     3.6 -999                                   
1987 12 12 23 02   777.4   -16.3     3.6 -999                                   
1987 12 12 23 56   779.7   -16.1     3.8 -999                                   
1987 12 13 00 49   779.4   -15.9     4.3 -999                                   
1987 12 13 01 42   781.0   -15.5     4.6 -999                                   
1987 12 13 03 29   778.3   -15.1     6.6 -999                                   
1987 12 13 05 16   780.0   -14.6     8.5 -999                                   
1987 12 13 07 56 -999      -14.1     8.5 -999                                   
1987 12 13 09 42   778.7   -13.8     8.0 -999                                   
1987 12 13 11 30   779.6   -13.8     7.7 -999                                   
1987 12 13 12 22   780.0   -14.0     7.3 -999                                   
1987 12 13 13 15   779.9   -14.2     7.2 -999                                   
1987 12 13 14 10   779.7   -14.4     7.1 -999                                   
1987 12 13 15 03   779.6   -14.9     6.6 -999                                   
1987 12 13 15 55   781.0   -15.3     7.2 -999                                   
1987 12 13 17 43   781.3   -16.5     7.9 -999                                   
1987 12 13 18 35   780.2   -17.4     8.4 -999                                   
1987 12 13 19 30   780.0   -18.4     8.7 -999                                   
1987 12 13 20 23   780.2   -19.2     8.7 -999                                   
1987 12 13 21 16   782.3   -19.7     9.3 -999                                   
1987 12 13 22 10   780.7   -19.4     8.8 -999                                   
1987 12 13 23 02   780.0   -19.1     8.7 -999                                   
1987 12 13 23 56   780.4   -18.3     7.5 -999                                   
1987 12 14 00 49   780.2   -17.9     6.7 -999                                   
1987 12 14 01 42   780.5   -17.7     6.5 -999                                   
1987 12 14 02 36   781.2   -17.1     6.4 -999                                   
1987 12 14 03 29   780.2   -16.7     6.9 -999                                   
1987 12 14 05 16   781.2   -16.0     7.1 -999                                   
1987 12 14 07 56   781.7   -15.0     6.6 -999                                   
1987 12 14 09 42   782.8   -13.9     4.6 -999                                   
1987 12 14 11 30   780.5   -13.7     4.4 -999                                   
1987 12 14 12 22   779.7   -14.2     6.6 -999                                   
1987 12 14 13 15   780.0   -14.2     6.2 -999                                   
1987 12 14 14 10   783.0   -14.4     6.4 -999                                   
1987 12 14 15 03   779.2   -14.5     5.5 -999                                   
1987 12 14 15 55   782.2   -14.8     5.2 -999                                   
1987 12 14 16 49   779.9   -15.1     2.9 -999                                   
1987 12 14 17 43   782.0   -15.2     3.1 -999                                   
1987 12 14 18 36   780.2   -15.3     4.6 -999                                   
1987 12 14 19 30   783.5   -15.6     4.1 -999                                   
1987 12 14 20 23   780.2   -15.6     5.5 -999                                   
1987 12 14 21 16   781.3   -15.8     6.4 -999                                   
1987 12 14 22 10   783.0   -16.2     6.6 -999                                   
1987 12 14 23 02   781.3   -16.4     7.2 -999                                   
1987 12 14 23 56   780.5   -16.3     7.0 -999                                   
1987 12 15 00 49   782.6   -16.4     5.1 -999                                   
1987 12 15 01 42   780.7   -17.2     7.1 -999                                   
1987 12 15 02 37   781.3   -17.0     7.4 -999                                   
1987 12 15 04 22   781.8   -15.7     7.9 -999                                   
1987 12 15 06 09   780.9   -14.3     8.7 -999                                   
1987 12 15 08 50   783.1   -13.0     6.8 -999                                   
1987 12 15 10 37   783.6   -12.3     5.4 -999                                   
1987 12 15 12 22   782.5   -12.4     4.3 -999                                   
1987 12 15 13 17   783.0   -12.5     4.4 -999                                   
1987 12 15 14 10   784.4   -12.8     4.9 -999                                   
1987 12 15 15 03   782.8   -12.9     3.4 -999                                   
1987 12 15 15 57   783.3   -13.3     2.6 -999                                   
1987 12 15 16 49   783.3   -13.6     2.7 -999                                   
1987 12 15 17 43   786.6   -14.0     1.8 -999                                   
1987 12 15 18 36   786.1   -14.5     0.9 -999                                   
1987 12 15 19 30   784.6   -14.7     1.3 -999                                   
1987 12 15 20 23   785.3   -15.0     2.2 -999                                   
1987 12 15 21 16   788.3   -15.4     2.4 -999                                   
1987 12 15 22 10   788.0   -15.3     4.0 -999                                   
1987 12 15 23 02   786.9   -15.6     6.3 -999                                   
1987 12 15 23 56   785.7   -16.0     7.7 -999                                   
1987 12 16 00 49   788.0   -16.1     9.6 -999                                   
1987 12 16 01 42   786.9   -15.9    10.2 -999                                   
1987 12 16 02 37   786.7   -15.5     9.7 -999                                   
1987 12 16 04 22   788.3   -14.4     8.2 -999                                   
1987 12 16 06 09   787.5   -13.1     6.6 -999                                   
1987 12 16 08 50   790.4   -12.5     6.9 -999                                   
1987 12 16 10 37   789.1   -12.2     5.2 -999                                   
1987 12 16 11 30   789.3   -12.4     5.4 -999                                   
1987 12 16 12 22   790.1   -12.8     5.2 -999                                   
1987 12 16 13 17   791.7   -12.9     5.1 -999                                   
1987 12 16 14 10   790.1   -13.2     4.9 -999                                   
1987 12 16 15 03   789.0   -13.5     5.7 -999                                   
1987 12 16 15 57   790.9   -13.8     5.7 -999                                   
1987 12 16 17 43   789.8   -14.6     6.2 -999                                   
1987 12 16 19 30   793.2   -15.1     5.4 -999                                   
1987 12 16 20 23   792.4   -16.0     5.7 -999                                   
1987 12 16 21 16   792.7   -16.9     4.9 -999                                   
1987 12 16 22 10   790.0   -17.4     5.6 -999                                   
1987 12 16 23 56   792.9   -17.3     7.6 -999                                   
1987 12 17 00 49   789.5   -17.8     7.3 -999                                   
1987 12 17 01 42   790.0   -17.7     7.3 -999                                   
1987 12 17 02 37   789.0   -16.9     8.0 -999                                   
1987 12 17 03 29   790.1   -16.8     8.7 -999                                   
1987 12 17 04 22   788.8   -16.4     8.6 -999                                   
1987 12 17 05 17   788.5   -15.5     8.1 -999                                   
1987 12 17 07 02   788.8   -14.3     7.0 -999                                   
1987 12 17 08 50   787.5   -13.8     5.9 -999                                   
1987 12 17 10 37   787.7   -13.3     5.9 -999                                   
1987 12 17 12 22   786.6   -13.1     5.2 -999                                   
1987 12 17 14 10   788.8   -13.7     4.8 -999                                   
1987 12 17 15 57   785.3   -15.1     1.7 -999                                   
1987 12 17 16 49   786.9   -16.9     2.1 -999                                   
1987 12 17 17 43   785.7   -17.8     3.0 -999                                   
1987 12 17 18 36   786.9   -18.9     3.9 -999                                   
1987 12 17 19 30   784.8   -19.3     4.4 -999                                   
1987 12 17 20 24   785.3   -20.0     4.9 -999                                   
1987 12 17 21 16   787.5   -20.4     4.7 -999                                   
1987 12 17 22 10   784.3   -19.9     4.7 -999                                   
1987 12 17 23 56   784.1   -19.4     5.2 -999                                   
1987 12 18 01 44   778.6   -18.5     5.4 -999                                   
1987 12 18 03 29   784.9   -17.3     5.9 -999                                   
1987 12 18 05 17   785.1   -16.4     6.0 -999                                   
1987 12 18 08 50   782.7   -14.4     6.2 -999                                   
1987 12 18 10 37   783.0   -13.9     6.0 -999                                   
1987 12 18 12 23   782.8   -13.9     6.6 -999                                   
1987 12 18 13 17   782.5   -14.0     6.7 -999                                   
1987 12 18 14 10   783.0   -14.2     6.5 -999                                   
1987 12 18 15 03   782.5   -14.3     5.9 -999                                   
1987 12 18 15 57   782.5   -14.6     5.6 -999                                   
1987 12 18 16 49   784.4   -15.1     6.4 -999                                   
1987 12 18 17 43   783.1   -15.1     5.4 -999                                   
1987 12 18 18 36   783.5   -15.1     4.3 -999                                   
1987 12 18 20 24   785.3   -15.6     5.1 -999                                   
1987 12 18 22 10   783.1   -15.5     5.4 -999                                   
1987 12 18 23 56   782.2   -15.5     5.9 -999                                   
1987 12 19 01 44   783.5   -15.9     8.2 -999                                   
1987 12 19 03 29   783.0   -15.3     9.4 -999                                   
1987 12 19 05 17   783.1   -15.3    10.5 -999                                   
1987 12 19 08 50   782.7   -13.7    10.4 -999                                   
1987 12 19 09 43   782.8   -13.6    10.9 -999                                   
1987 12 19 10 37   783.6   -13.7    11.1 -999                                   
1987 12 19 11 30   783.5   -13.7    11.0 -999                                   
1987 12 19 13 17   784.6   -14.1    10.7 -999                                   
1987 12 19 15 03   784.3   -14.8    10.9 -999                                   
1987 12 19 16 49   784.4   -15.4    11.4 -999                                   
1987 12 19 18 36   782.7   -17.2     9.6 -999                                   
1987 12 19 20 24   783.0   -18.9    12.0 -999                                   
1987 12 19 22 10   782.7   -19.2    13.9 -999                                   
1987 12 19 23 04   782.8   -19.3    14.2 -999                                   
1987 12 19 23 56   784.8   -19.2    14.4 -999                                   
1987 12 20 00 49   783.1   -18.9    14.8 -999                                   
1987 12 20 01 44   782.8   -18.5    15.8 -999                                   
1987 12 20 02 37   781.7   -17.9    16.5 -999                                   
1987 12 20 04 23   783.0   -16.8    17.0 -999                                   
1987 12 20 06 09   780.2   -15.9    18.0 -999                                   
1987 12 20 07 57   779.7   -15.3    19.0 -999                                   
1987 12 20 09 43   778.1   -14.9    19.0 -999                                   
1987 12 20 11 31   777.4   -15.2    18.5 -999                                   
1987 12 20 13 17   777.9   -15.5    19.2 -999                                   
1987 12 20 15 03   775.5   -16.0    19.4 -999                                   
1987 12 20 16 51   776.5   -17.4    18.9 -999                                   
1987 12 20 17 43   774.2   -18.1    18.7 -999                                   
1987 12 20 18 36   773.7   -18.6    17.7 -999                                   
1987 12 20 19 31   773.9   -18.6    19.4 -999                                   
1987 12 20 20 24   774.0   -19.0    20.6 -999                                   
1987 12 20 21 16   772.1   -19.1    21.2 -999                                   
1987 12 20 22 10   772.2   -19.1    20.2 -999                                   
1987 12 20 23 04   771.4   -18.9    20.5 -999                                   
1987 12 21 00 50   772.2   -18.7    20.6 -999                                   
1987 12 21 02 37   771.2   -17.7    19.8 -999                                   
1987 12 21 04 23   770.3   -16.6    19.5 -999                                   
1987 12 21 06 10   772.7   -15.7    20.0 -999                                   
1987 12 21 07 57   770.4   -14.4    18.5 -999                                   
1987 12 21 09 43   771.4   -14.3    18.4 -999                                   
1987 12 21 11 31   771.1   -14.4    16.7 -999                                   
1987 12 21 12 23   770.8   -14.6    16.8 -999                                   
1987 12 21 13 17   769.9   -14.9    16.6 -999                                   
1987 12 21 14 11   770.6   -15.2    16.4 -999                                   
1987 12 21 15 03   770.3   -15.5    15.8 -999                                   
1987 12 21 15 57   770.6   -16.6    15.2 -999                                   
1987 12 21 16 51   770.6   -17.5    15.6 -999                                   
1987 12 21 17 43   770.4   -17.7    15.3 -999                                   
1987 12 21 18 36   771.4   -17.6    15.2 -999                                   
1987 12 21 19 31   772.1   -17.4    15.6 -999                                   
1987 12 21 21 16   771.4   -17.3    15.7 -999                                   
1987 12 21 23 04   771.4   -16.7    14.5 -999                                   
1987 12 21 23 56   771.6   -16.3    13.5 -999                                   
1987 12 22 00 50   774.3   -16.2    13.4 -999                                   
1987 12 22 01 44   771.6   -16.1    13.0 -999                                   
1987 12 22 02 37   774.2   -15.7    12.4 -999                                   
1987 12 22 03 30   772.1   -15.2    12.1 -999                                   
1987 12 22 05 17   772.1   -13.8    12.8 -999                                   
1987 12 22 07 57   775.5   -12.2    12.5 -999                                   
1987 12 22 09 43   774.7   -12.0    12.9 -999                                   
1987 12 22 11 31   775.5   -12.0    13.0 -999                                   
1987 12 22 13 17   774.8   -12.4    11.8 -999                                   
1987 12 22 14 11   776.0   -12.4    10.4 -999                                   
1987 12 22 15 03   777.8   -13.2     9.4 -999                                   
1987 12 22 15 57   775.5   -13.1     9.3 -999                                   
1987 12 22 17 43   775.8   -13.4     9.5 -999                                   
1987 12 22 19 31   776.3   -13.5     8.2 -999                                   
1987 12 22 20 24   780.2   -13.7     8.1 -999                                   
1987 12 22 21 16   779.9   -13.4     7.9 -999                                   
1987 12 22 22 10   778.3   -13.6     8.0 -999                                   
1987 12 22 23 04   780.5   -13.6     7.9 -999                                   
1987 12 22 23 56   778.9   -13.5     8.0 -999                                   
1987 12 23 01 44   778.9   -13.5     7.0 -999                                   
1987 12 23 02 37   780.2   -13.5     6.1 -999                                   
1987 12 23 03 30   780.1   -13.3     7.1 -999                                   
1987 12 23 05 17 -999      -11.9     9.5 -999                                   
1987 12 23 07 03   780.2   -11.1    11.3 -999                                   
1987 12 23 07 58   781.5   -11.0    11.2 -999                                   
1987 12 23 09 43   782.3   -10.7     9.7 -999                                   
1987 12 23 11 31   781.7   -10.6     8.9 -999                                   
1987 12 23 12 23   783.0   -10.7     7.6 -999                                   
1987 12 23 13 18   783.1   -10.6     7.3 -999                                   
1987 12 23 14 11   782.5   -10.8     5.4 -999                                   
1987 12 23 15 03   782.5   -11.2     4.5 -999                                   
1987 12 23 15 58   782.2   -11.6     4.6 -999                                   
1987 12 23 16 51   782.0   -12.4     2.8 -999                                   
1987 12 23 17 43   783.0   -12.8     2.9 -999                                   
1987 12 23 18 38   784.9   -13.0     3.5 -999                                   
1987 12 23 19 31   783.0   -13.5     3.1 -999                                   
1987 12 23 20 24   784.9   -15.0     3.6 -999                                   
1987 12 23 21 18   783.5   -16.5     6.5 -999                                   
1987 12 23 22 10   782.8   -17.8     8.1 -999                                   
1987 12 23 23 04   778.9   -18.0     8.3 -999                                   
1987 12 23 23 57   782.8   -18.3     8.6 -999                                   
1987 12 24 00 50   782.3   -17.9     8.5 -999                                   
1987 12 24 01 44   782.3   -16.6     7.7 -999                                   
1987 12 24 02 37   782.3   -16.3     7.8 -999                                   
1987 12 24 03 30   782.7   -16.1     7.0 -999                                   
1987 12 24 04 23   782.8   -14.9     8.6 -999                                   
1987 12 24 06 10   782.7   -13.2     8.7 -999                                   
1987 12 24 08 50   782.8   -11.8     7.3 -999                                   
1987 12 24 09 43   781.5   -11.6     6.0 -999                                   
1987 12 24 10 38   781.7   -11.3     4.9 -999                                   
1987 12 24 11 31   782.0   -11.6     4.5 -999                                   
1987 12 24 12 23   780.7   -11.6     3.8 -999                                   
1987 12 24 14 11   781.8   -12.4     3.7 -999                                   
1987 12 24 15 03   780.5   -12.7     3.4 -999                                   
1987 12 24 15 58   780.9   -12.9     2.4 -999                                   
1987 12 24 16 51   779.9   -13.3     2.2 -999                                   
1987 12 24 17 43   780.5   -13.8     2.0 -999                                   
1987 12 24 18 38   781.5   -14.1     2.4 -999                                   
1987 12 24 19 31   780.5   -14.4     2.4 -999                                   
1987 12 24 20 24   781.4   -14.7     2.4 -999                                   
1987 12 24 21 18   780.4   -14.9     3.8 -999                                   
1987 12 24 23 04   783.8   -15.8     6.9 -999                                   
1987 12 24 23 57   783.8   -16.3     7.9 -999                                   
1987 12 25 00 50   780.5   -16.8     7.1 -999                                   
1987 12 25 01 44   781.4   -16.9     7.3 -999                                   
1987 12 25 02 37   783.5   -16.9     7.7 -999                                   
1987 12 25 04 23   780.9   -16.4     7.5 -999                                   
1987 12 25 06 10   779.6   -15.8     8.6 -999                                   
1987 12 25 07 03   781.7   -15.6     9.1 -999                                   
1987 12 25 08 50   781.5   -14.9     8.1 -999                                   
1987 12 25 10 38   780.1   -14.4     7.6 -999                                   
1987 12 25 12 23   780.1   -13.8     6.6 -999                                   
1987 12 25 13 18   780.2   -14.2     6.0 -999                                   
1987 12 25 14 11   781.0   -14.2     5.4 -999                                   
1987 12 25 15 03   782.2   -14.3     6.0 -999                                   
1987 12 25 15 58   782.2   -14.6     5.9 -999                                   
1987 12 25 16 51   782.7   -14.9     5.7 -999                                   
1987 12 25 17 43   780.4   -15.4     6.0 -999                                   
1987 12 25 19 31   781.0   -15.6     6.3 -999                                   
1987 12 25 20 24   779.9   -15.9     6.3 -999                                   
1987 12 25 21 18   779.9   -16.0     7.5 -999                                   
1987 12 25 22 10   783.8   -16.3     6.9 -999                                   
1987 12 25 23 04   783.1   -17.1     6.5 -999                                   
1987 12 25 23 57   781.5   -17.6     6.1 -999                                   
1987 12 26 00 50   783.8   -17.0     6.5 -999                                   
1987 12 26 01 45   781.4   -16.6     6.6 -999                                   
1987 12 26 02 37   781.2   -16.3     7.2 -999                                   
1987 12 26 04 25   782.2   -15.6     8.2 -999                                   
1987 12 26 05 18   782.5   -15.3     8.1 -999                                   
1987 12 26 07 05   783.8   -14.1     8.2 -999                                   
1987 12 26 08 50   785.4   -13.3     8.9 -999                                   
1987 12 26 10 38   783.8   -13.2     8.3 -999                                   
1987 12 26 12 24   784.3   -13.6     7.5 -999                                   
1987 12 26 14 11   785.3   -14.2     6.6 -999                                   
1987 12 26 15 58   786.1   -15.9     3.8 -999                                   
1987 12 26 16 51   786.2   -17.5     2.5 -999                                   
1987 12 26 18 38   787.0   -21.4     4.0 -999                                   
1987 12 26 19 31   786.1   -22.1     5.2 -999                                   
1987 12 26 20 24   787.0   -22.7     5.9 -999                                   
1987 12 26 21 18   789.8   -23.7     6.6 -999                                   
1987 12 26 22 10   789.2   -24.3     6.6 -999                                   
1987 12 26 23 05   789.6   -23.7     8.7 -999                                   
1987 12 26 23 57   788.0   -23.1     8.0 -999                                   
1987 12 27 01 45   788.8   -21.5     8.3 -999                                   
1987 12 27 03 30   788.0   -18.7     8.6 -999                                   
1987 12 27 05 18   789.6   -16.7     8.0 -999                                   
1987 12 27 08 50   788.7   -14.1     7.2 -999                                   
1987 12 27 10 38   789.3   -13.8     6.7 -999                                   
1987 12 27 12 24   790.0   -14.1     7.2 -999                                   
1987 12 27 14 11   789.3   -14.5     5.2 -999                                   
1987 12 27 15 04   788.5   -15.5     4.2 -999                                   
1987 12 27 15 58   788.7   -16.8     4.1 -999                                   
1987 12 27 16 51   790.9   -17.9     5.0 -999                                   
1987 12 27 17 44   788.3   -18.9     6.0 -999                                   
1987 12 27 18 38   788.5   -20.2     6.6 -999                                   
1987 12 27 20 24   790.1   -21.4     8.1 -999                                   
1987 12 27 22 10   789.2   -20.7    10.2 -999                                   
1987 12 27 23 57   787.5   -20.5    11.8 -999                                   
1987 12 28 01 45   787.2   -19.2    10.9 -999                                   
1987 12 28 03 30   785.4   -16.9    14.8 -999                                   
1987 12 28 05 18   787.2   -15.8    16.9 -999                                   
1987 12 28 07 05   784.8   -15.7    19.4 -999                                   
1987 12 28 08 50   784.6   -15.2    18.5 -999                                   
1987 12 28 10 38   782.0   -15.3    17.7 -999                                   
1987 12 28 11 31   784.1   -15.4    18.1 -999                                   
1987 12 28 12 24   783.6   -15.5    18.4 -999                                   
1987 12 28 13 18   783.1   -15.8    19.0 -999                                   
1987 12 28 15 04   784.0   -16.5    18.4 -999                                   
1987 12 28 16 51   784.0   -17.0    17.8 -999                                   
1987 12 28 18 38   783.1   -17.6    18.0 -999                                   
1987 12 28 20 24   782.7   -19.0    18.3 -999                                   
1987 12 28 22 11   782.3   -19.2    19.8 -999                                   
1987 12 28 23 57   781.7   -19.2    19.6 -999                                   
1987 12 29 00 51   784.0   -19.3    18.3 -999                                   
1987 12 29 01 45   781.2   -18.7    17.7 -999                                   
1987 12 29 02 37   780.5   -18.3    17.8 -999                                   
1987 12 29 04 25   780.2   -17.3    18.9 -999                                   
1987 12 29 06 11   780.7   -16.0    18.7 -999                                   
1987 12 29 07 58   781.8   -15.2    18.5 -999                                   
1987 12 29 09 45   778.6   -14.9    18.0 -999                                   
1987 12 29 11 31   777.6   -14.6    17.3 -999                                   
